Tijdstempel,Welk OS (Operating System) gebruik je op je computer?,,Welke browser gebruik jij het meest op je computer? ,,Waarom gebruik je deze browser op je computer? ,,Hoe tevreden ben je met de browser die je gebruikt op je computer? ,,Wat voor een telefoon heb je?,,Welke browser gebruik jij het meest op je telefoon? ,,"Hoe belangrijk zijn de volgende factoren bij je keuze voor een browser? (Schaal van 1-5: 1 = helemaal niet belangrijk, 5 = zeer belangrijk)",,Hoe eenvoudig vind je het om instellingen te wijzigen in je huidige browser? ,,Hoe makkelijk vind je het om nieuwe extensies of add-ons te installeren in je browser? ,,Hoe tevreden ben je met de design en het ontwerp van je huidige browser? ,,Hoe tevreden ben je met de design en het ontwerp van je huidige browser? , ,Welke functies van je browser vind je het meest gebruiksvriendelijk?,,Wat vind je het minst fijne aan je browser?,Hoe vaak merkt u verschillen in laadtijden van webpagina's tussen verschillende webbrowsers?,Welke browser ervaart u als het snelst qua renderingssnelheid (het weergeven van de inhoud van een webpagina)?,In hoeverre beïnvloeden de laadtijden van webpagina's uw keuze voor een webbrowser?,"Hoe belangrijk vindt u het efficiënt gebruik van systeembronnen (CPU-gebruik, RAM-gebruik) door een webbrowser?",Heeft u gemerkt dat bepaalde webbrowsers uw systeem significant vertragen of veel geheugen gebruiken?,Hoe belangrijk vindt u de beschikbaarheid van plug-ins voor uw webbrowser?,Welke browser gebruikt u voornamelijk vanwege de beschikbaarheid van specifieke plug-ins of extensies?,"Hoe vaak maakt u gebruik van ingebouwde functies (zoals adblockers, vertaaltools, wachtwoordmanagers) van uw webbrowser?",Hoe tevreden bent u met de effectiviteit van de ingebouwde functies van uw huidige webbrowser?,Heeft de beschikbaarheid van ingebouwde functies invloed op uw keuze van webbrowser?,Kunt u een voorbeeld geven van een specifieke plug-in of ingebouwde functie die uw gebruikerservaring aanzienlijk verbetert?,,Doet u een opleiding in de ICT
2024/06/10 9:27:11 p.m. EEST,MAC OS,,Arc,,Gebruiksvriendelijkheid,,Zeer tevreden,,Apple,,Arc,,Gebruiksvriendelijkheid,,Zeer eenvoudig,,Erg makkelijk,,Zeer ontevreden,,Zeer ontevreden,,De sneltoetsen,,Privacy beheer,Nooit,Google Chrome,Helemaal niet belangrijk,Helemaal niet belangrijk,"Nee, zelden",Zeer belangrijk,Chromium,Zelden,Tevreden,Neutraal,De multitasking functionaliteit ,,Ja
2024/06/10 9:27:59 p.m. EEST,Windows,,DuckDuckGo,,Beveiliging,,Tevreden,,Andriod,,Google Chrome,,Beveiliging,,Eenvoudig,,Makkelijk,,Neutraal,,Neutraal,,Gebruik van extensies/add-ons,,nvt,Nooit,Google Chrome,Neutraal,Zeer belangrijk,"Ja, vaak",Neutraal,Google Chrome,Zeer vaak,Tevreden,Neutraal,Adblockers. Als je een website echt wil supporten dan kan je op dit site op pauze zetten.,,Ja
2024/06/10 9:28:39 p.m. EEST,Linux,,Mozilla Firefox,,Beveiliging,,Zeer tevreden,,Andriod,,Brave,,Privacy instellingen,,Eenvoudig,,Erg makkelijk,,Zeer tevreden,,Zeer tevreden,,Gebruik van extensies/add-ons,,Tab beheer,Soms,Mozilla Firefox,Belangrijk,Zeer belangrijk,"Ja, vaak",Zeer belangrijk,Mozilla Firefox,Soms,Tevreden,Veel,uBlock Origin,,Ja
2024/06/10 9:29:06 p.m. EEST,Windows,,Arc,,Ontwerp van de browser,,Zeer tevreden,,Apple,,Arc,,Gebruiksvriendelijkheid,,Eenvoudig,,Erg makkelijk,,Zeer tevreden,,Zeer tevreden,,Tab beheer,,De sneltoetsen,Zelden,Arc,Belangrijk,Neutraal,"Nee, zelden",Belangrijk,Arc,Soms,Neutraal,Weinig,"Automatisch watchwoord invullen, adblock",,Nee
2024/06/10 9:29:15 p.m. EEST,Windows,,Microsoft Edge,,Snelheid,,Zeer ontevreden,,Andriod,,Google Chrome,,Snelheid,,Zeer eenvoudig,,Erg makkelijk,,Tevreden,,Tevreden,,Tab beheer,,Dat het nog steeds op Chrome draaid,Zeer vaak,Microsoft Edge,Zeer belangrijk,Zeer belangrijk,"Ja, vaak",Neutraal,Microsoft Edge,Soms,zeer tevreden,Neutraal,"In Edge heb je een ""efficiency mode""",,Ja;Nee
2024/06/10 9:31:01 p.m. EEST,Windows,,Opera,,Ontwerp van de browser,,Tevreden,,Andriod,,Google Chrome,,Beveiliging,,Zeer eenvoudig,,Erg makkelijk,,Zeer tevreden,,Tevreden,,De zoekbalk/adresbalk (de urlbalk),,Tab beheer,Zelden,Google Chrome,Neutraal,Helemaal niet belangrijk,"Ja, soms",Helemaal niet belangrijk,Opera gx,Zeer vaak,Ontevreden,Weinig,Ad Block ,,Ja
2024/06/10 9:32:55 p.m. EEST,Windows,,Mozilla Firefox,,Ontwerp van de browser,,Ontevreden,,Andriod,,Samsung Internet,,Beveiliging,,Eenvoudig,,Erg makkelijk,,Neutraal,,Neutraal,,Instellingen beheer,,De sneltoetsen,Zeer vaak,Google Chrome,Belangrijk,Helemaal niet belangrijk,"Ja, soms",Helemaal niet belangrijk,Mozilla Firefox,Vaak,Neutraal,Heel veel,Ad-Blocker,,Ja
2024/06/10 9:33:49 p.m. EEST,Windows,,Google Chrome,,Gebruiksvriendelijkheid,,Tevreden,,Apple,,Safari,,Gebruiksvriendelijkheid,,Eenvoudig,,Makkelijk,,Neutraal,,Neutraal,,De zoekbalk/adresbalk (de urlbalk),,De sneltoetsen,Zelden,Google Chrome,Onbelangrijk,Neutraal,"Nee, nooit",Neutraal,Google Chrome,Zeer vaak,Tevreden,Weinig,ad blocker,,Ja
2024/06/10 9:34:58 p.m. EEST,Windows,,Firefox met duckduckgo,,privacy,,Tevreden,,Andriod,,DuckDuckGo,,Privacy instellingen,,Eenvoudig,,Erg makkelijk,,Tevreden,,Tevreden,,no,,no,Nooit,Google Chrome,Belangrijk,Neutraal,"Ja, soms",Zeer belangrijk,Mozilla Firefox,Nooit,Neutraal,Heel weinig,ublock origin,,Ja;Nee
